bow_style,number,match_score,match_allowance,set_score,set_allowance
compound,36,136,1304,27,260
compound,37,136,1304,27,260
compound,38,135,1305,27,261
compound,39,135,1305,27,261
compound,40,134,1306,27,261
compound,41,134,1306,27,261
compound,42,133,1307,27,261
compound,43,133,1307,27,261
compound,44,132,1308,26,261
compound,45,131,1309,26,261
compound,46,131,1309,26,261
compound,47,130,1310,26,262
compound,48,129,1311,26,262
compound,49,128,1312,26,262
compound,50,127,1313,25,262
compound,51,127,1313,25,262
compound,52,126,1314,25,262
compound,53,125,1315,25,263
compound,54,124,1316,25,263
compound,55,122,1318,24,263
compound,56,121,1319,24,263
compound,57,120,1320,24,264
compound,58,119,1321,24,264
compound,59,118,1322,24,264
compound,60,116,1324,23,264
compound,61,115,1325,23,265
compound,62,113,1327,23,265
compound,63,112,1328,22,265
compound,64,110,1330,22,266
compound,65,109,1331,22,266
compound,66,107,1333,21,266
compound,67,105,1335,21,267
compound,68,104,1336,21,267
compound,69,102,1338,20,267
compound,70,100,1340,20,268
compound,71,98,1342,20,268
compound,72,96,1344,19,268
compound,73,94,1346,19,269
compound,74,91,1349,18,269
compound,75,89,1351,18,270
compound,76,87,1353,17,270
compound,77,84,1356,17,271
compound,78,82,1358,16,271
compound,79,80,1360,16,272
compound,80,77,1363,15,272
compound,81,75,1365,15,273
compound,82,72,1368,14,273
compound,83,70,1370,14,274
compound,84,67,1373,13,274
compound,85,64,1376,13,275
compound,86,62,1378,12,275
compound,87,59,1381,12,276
compound,88,57,1383,11,276
compound,89,54,1386,11,277
compound,90,52,1388,10,277
compound,91,50,1390,10,278
compound,92,47,1393,9,278
compound,93,45,1395,9,279
compound,94,43,1397,9,279
compound,95,41,1399,8,279
compound,96,39,1401,8,280
compound,97,37,1403,7,280
compound,98,35,1405,7,281
compound,99,33,1407,7,281
compound,100,31,1409,6,281
compound,101,29,1411,6,282
compound,102,28,1412,6,282
compound,103,26,1414,5,282
compound,104,25,1415,5,283
compound,105,23,1417,5,283
compound,106,22,1418,4,283
compound,107,21,1419,4,283
compound,108,19,1421,4,284
compound,109,18,1422,4,284
compound,110,17,1423,3,284
compound,111,16,1424,3,284
compound,112,15,1425,3,285
compound,113,14,1426,3,285
compound,114,13,1427,3,285
compound,115,12,1428,2,285
compound,116,12,1428,2,285
compound,117,11,1429,2,285
compound,118,10,1430,2,286
compound,119,10,1430,2,286
compound,120,9,1431,2,286
compound,121,8,1432,2,286
compound,122,8,1432,2,286
compound,123,7,1433,1,286
compound,124,7,1433,1,286
compound,125,6,1434,1,286
compound,126,6,1434,1,286
compound,127,6,1434,1,286
compound,128,5,1435,1,287
compound,129,5,1435,1,287
compound,130,5,1435,1,287
compound,131,4,1436,1,287
compound,132,4,1436,1,287
compound,133,4,1436,1,287
compound,134,3,1437,1,287
compound,135,3,1437,1,287
compound,136,3,1437,1,287
compound,137,3,1437,1,287
compound,138,3,1437,1,287
compound,139,2,1438,1,287
compound,140,2,1438,1,287
compound,141,2,1438,1,287
compound,142,2,1438,1,287
compound,143,2,1438,1,287
compound,144,2,1438,1,287
compound,145,1,1439,1,287
compound,146,1,1439,1,287
compound,147,1,1439,1,287
compound,148,1,1439,1,287
compound,149,1,1439,1,287
compound,150,1,1439,1,287
longbow,0,150,1290,30,258
longbow,1,150,1290,30,258
longbow,2,150,1290,30,258
longbow,3,150,1290,30,258
longbow,4,150,1290,30,258
longbow,5,150,1290,30,258
longbow,6,150,1290,30,258
longbow,7,150,1290,30,258
